edad,educ,wage
56,4,1801.3659655077784
35,11,1697.5876409072835
31,11,2412.4137018614506
77,12,2688.6002401596816
73,8,3219.8632833575575
19,13,2993.2633411801007
37,0,2322.885754460332
27,9,1660.180318097921
73,10,2494.426331845651
41,8,2459.6025336536704
42,3,3098.8431573569787
51,9,1720.7802603110467
50,10,3050.291529267302
43,4,3257.4833481514784
72,0,2531.345828727472
66,7,2400.388257381124
47,3,3256.655693609987
78,5,3226.265164783609
77,13,4420.23851911752
70,0,2899.214229356259
61,3,2762.4002274549703
65,4,2965.824514304043
46,3,2342.5248091294147
72,12,2650.959380621489
78,2,2120.427329413278
28,5,1804.640905986417
55,5,2222.773489080722
51,2,2212.3029938691366
70,3,1830.9247023159842
20,2,2729.6778646053676
77,8,2473.3728683550603
32,9,2110.4747463491035
38,5,2773.707826174949
61,13,2462.0113780971124
69,11,2434.0244133206306
61,9,2900.5245945644397
50,3,2701.9551299211844
19,7,2634.896881731589
28,3,1587.5440326421294
28,10,2838.4353986673386
35,2,2509.2436683728624
38,8,1754.8774811573558
25,8,2842.7749751635984
74,13,2444.237032737135
25,3,3647.4306936691114
36,14,2867.148160739268
24,7,2548.576191553288
25,14,4144.915557559114
19,13,1594.1661096863522
63,7,2118.1251562205352
75,6,2979.93803274839
38,9,2313.716951844727
38,14,2425.5499018276832
31,12,1807.8604168962092
24,13,3189.9724425122736
27,12,1429.0159472575092
55,10,2176.0533290999315
59,1,2714.293254126436
47,7,3079.926125119221
47,5,2271.298720858038
78,4,2242.495067493873
54,8,2333.560549379868
20,5,2859.601888230833
50,2,3020.081972560278
33,4,3275.9016672444604
57,4,2119.11235961832
18,14,2564.325175349932
69,13,2153.652461940261
58,5,2210.963757634275
66,5,2230.9907276644453
38,9,2582.1714891922497
34,7,2048.615738073851
39,6,2566.6785899174843
71,9,2230.3056960131353
49,1,1721.793021115422
30,5,2047.0804797170251
40,14,1415.5788494374708
45,8,2677.821819000603
64,11,2520.1218773134137
38,8,2460.7083351047218
64,1,1887.5792913552966
40,13,3126.4770098885156
55,0,1740.3624943557904
19,6,2671.826224300724
67,0,2406.000292141649
19,5,2500.364076969645
27,3,1851.516867220007
70,13,1968.4149863002356
28,10,2160.874969783141
18,8,2490.9851658286543
67,0,2476.03837396316
19,6,2768.8616951727136
33,2,2144.5102965185115
30,5,2911.1203412252885
64,5,2849.979265348109
53,9,2562.555832402559
68,13,2723.114759703713
67,9,2563.3726679446404
79,12,2804.4416398481344
20,14,2718.6687891163415
67,11,2753.7853747299646
43,4,3368.4270552458643
49,8,3172.0819055068278
35,0,2752.5825419440534
79,12,2450.16064075372
32,3,3173.493382767824
41,10,2988.7408786457936
24,1,1699.9939611327693
69,13,2753.9981906237813
55,14,2364.0088046257406
77,14,3402.1228094346316
24,13,1509.0976119288262
49,0,1684.3133735396545
27,7,3415.384354832519
64,6,1778.6875329595332
20,7,1265.4525491211652
45,9,3220.4515592336065
37,13,2709.6289163445244
50,9,2327.377711457511
33,11,2656.306809567883
39,1,3349.7568407014883
33,6,2207.728361439931
47,13,1657.785965967278
57,5,3017.984639733573
26,13,2525.0482465573714
64,6,3177.3441752738854
78,14,1894.8812067331426
25,4,1551.6529571527717
60,13,2862.785664726388
66,5,2250.068507291466
63,7,1655.6252469680417
62,4,2490.0466272102412
77,7,2814.592493556161
32,13,2470.121170781973
68,3,1776.9977150384727
18,8,2272.9264456315177
53,14,2222.052503858816
53,7,2349.5167720035356
40,2,1617.663199774754
52,2,2879.639902867464
62,8,2942.8623430396246
51,13,2231.731159599382
78,4,2553.8228767174296
18,12,3147.825280145049
68,3,2987.614166718331
67,6,3641.013645399589
28,8,2441.9375021119604
57,3,3373.6906734711174
52,9,2730.1306650451284
54,6,2916.815168852113
45,4,2561.7751283091034
52,10,2173.8717289604774
40,13,2488.064469097168
56,13,1415.8457994979535
71,13,2595.6621514258813
42,10,670.9754168175882
72,4,2430.988470560219
32,0,2329.7466439120058
66,6,1660.8367881771874
37,12,962.4126880941303
75,10,2059.6899396121735
63,7,3009.869436067719
25,0,1776.0237949347973
62,7,2995.6103144694516
31,3,1624.3827227704387
40,1,2023.0353037799305
28,5,2697.319904974026
35,1,1352.7376597348514
18,0,2668.8848871831447
41,0,2913.8253063213133
41,13,1469.4283630734785
54,10,2998.2254838164345
35,6,2016.5733452168715
78,8,2216.4557673653417
49,13,2502.8325434761564
48,7,2627.085599123989
52,11,2742.068869482729
23,12,2932.590504726283
27,7,3302.5176975768463
20,11,1296.5232379099082
57,4,2593.4133240686565
55,9,2320.2764959587485
42,0,2045.8363707015246
29,1,2811.8469078552557
57,2,2279.075470426953
58,9,2424.284376364985
62,9,2733.9549066283116
34,9,2680.8408317114345
48,1,2515.2204586122843
75,4,3107.5217586635417
37,7,1811.1703892034902
39,6,2985.0925657322387
71,12,2701.433610854127
70,12,2135.6062296822483
28,8,2495.8961917223382
68,7,1606.247026168749
57,13,1669.5586479201852
28,13,2026.7987654215603
42,6,2357.2611389664025
42,2,2813.5261547501723
73,9,2112.524284754466
71,11,2902.658199609499
52,5,2347.6537331694162
20,10,1924.9100603403074
56,5,2871.0105192676515
44,6,2671.150164627634
28,6,2250.81237979565
72,1,2327.299427844626
49,5,1589.8762720486793
69,8,1903.6164885616874
21,13,2824.5631623003483
66,7,2977.961661462959
73,4,3068.817381699956
76,4,2191.9930626834644
70,11,2228.6429871884416
53,12,1737.4718264905814
38,9,2054.3031637099325
48,6,4045.3507980389954
79,6,1470.41360310946
54,14,2406.4326273919414
60,13,2939.0701995800296
27,2,2517.095987623484
61,6,2883.3580723520467
65,7,2747.182435181309
26,7,2735.932931566438
45,3,2696.474235123828
24,0,2065.2054267049566
70,11,1842.1060719891325
48,8,2282.453540136763
38,10,3535.031828835317
73,1,4099.420124324595
76,1,3503.529845696966
19,0,1598.4710221712903
46,11,1123.9001224537556
61,13,1936.227186045075
36,0,1561.5528150017415
24,14,2826.7687571580254
55,8,2875.7185711176494
49,10,2471.506371572717
64,13,2834.6953446938114
41,3,2588.168168454297
28,5,2729.1555209634175
62,0,2521.6049679949165
36,5,2876.9775885368313
26,3,2321.074770716343
57,0,2339.4863933288075
70,14,2775.315465111778
44,13,2664.0082659562886
52,9,2826.5072167338612
60,3,2241.684902937669
31,14,2843.7263844958816
58,0,2439.6364539727265
30,6,3090.263225573521
28,0,3012.0065841247215
64,7,2952.9971376317935
58,10,1492.1527525638376
73,6,3513.217967792211
66,8,2383.7828631014772
69,12,2575.808295007488
34,4,2003.5862154855527
33,12,2423.4658825604424
38,1,2301.376471744226
32,4,3750.626277409625
18,13,496.76386932634273
46,1,2351.1646243938903
26,3,2291.246172088965
74,13,2622.527408671348
35,13,2181.5463612377184
45,11,2973.5311268589826
34,1,1396.4912133626153
20,3,2728.3886840766686
39,12,1844.8393721983216
76,7,1678.899368885624
20,7,2453.1472588206834
30,11,1990.6778064005857
57,3,2462.218278604227
18,13,2724.384588697578
29,0,1731.3866237200114
79,3,3183.6130431206716
68,4,2535.8580339362206
70,1,2437.3051480031004
50,6,2574.7183685631285
53,11,2413.883634650304
60,10,1589.1996649257003
24,5,2784.670037515868
75,1,2145.6835112597532
55,6,1950.1813734830598
68,6,2609.840423211955
58,12,2341.6763964905276
45,3,1888.8086698865332
71,10,3388.453520739256
65,13,3486.1415481143904
60,12,3424.8432017083833
25,0,3054.909036581638
65,12,2445.3871525273507
31,6,2708.6972433010974
38,0,1172.9818259228612
22,0,2641.8278775802064
79,9,2211.89310483882
34,12,1065.0184358305191
37,8,2816.0171625364446
32,8,2384.5533139616796
70,12,3209.052746562899
40,12,1596.530017936821
76,13,2936.0324587340556
65,9,3347.862964040978
35,9,2804.901120187279
42,10,3102.811202144412
47,10,2559.5313712910765
74,4,2677.766986014293
55,9,1107.4069730121953
67,6,3040.0906684769457
76,7,2806.1906371789437
40,6,2502.2897305278575
66,5,2588.8065866006173
21,4,1382.0439012816128
59,5,2544.23266745671
21,1,2778.3673210555517
78,5,2338.2720470585828
50,4,2611.947735872278
44,4,1935.4586693289548
56,8,1917.3996713684019
44,6,1530.5028579964467
41,13,1938.8171635934798
40,8,1663.857160127568
67,2,1812.9138560509532
36,8,3292.444195284726
46,11,2159.7620983369275
47,2,2612.6166225366164
77,7,1478.3532648589119
70,13,2489.4791097747516
40,12,2243.20488070071
35,5,2897.560878901947
63,7,2192.961223138853
50,3,2846.1898843475165
53,2,2773.1359222110536
70,5,2826.3106525698067
18,3,2418.9892539396883
37,10,2023.0368649470863
61,4,2384.343518539578
53,3,2472.3025291002364
38,0,2935.3290388928726
51,7,2814.1398842040294
49,8,2830.969817510882
32,10,2502.3956471010756
40,11,1459.018278185603
28,12,2449.420235839956
76,8,3470.7648091337005
34,6,1892.2364071330721
63,5,1715.155166872338
56,12,2388.443599027726
79,7,2550.86420211266
75,11,3049.5752277559727
49,3,1986.8179428362764
50,10,3005.3718939590353
75,9,1954.7212833954377
47,7,3326.5740165097286
50,13,2403.480416422263
26,12,1593.8904867207707
23,6,1681.1179618039782
46,6,3233.6268748024795
34,2,3627.501123114853
43,4,1068.2005932999577
69,13,2190.5043737366996
35,13,391.47724904296547
73,5,3471.8285697998053
68,9,3324.3754166335516
64,9,2734.209531404815
33,13,3344.4759828854158
19,0,3252.086989907725
62,2,3222.7840736896596
23,0,2346.8936309713918
60,14,3370.5215567139808
68,12,2693.7726700586704
42,12,2237.6067358669716
37,8,2677.983377272292
23,2,2845.6123624909224
66,5,2632.8113188989023
79,2,2893.5374282735675
22,14,1716.428163174311
28,8,2961.2830117941003
28,2,1799.6314268247625
36,12,2766.9067001564354
60,12,1872.0133964266279
37,12,2259.979521139272
44,2,2422.759978175413
72,14,2345.819924753019
57,5,2574.8533113239614
67,8,3620.2403305267762
79,5,2108.660575954334
64,5,3132.0948708721353
69,1,2014.317691394695
26,8,2554.275026261648
51,8,2696.6651214529165
50,12,2510.6280727852914
21,12,2845.602885912066
55,5,3229.404006245405
34,6,2374.1379711353065
58,0,2727.649916947997
32,10,2474.363271320303
68,11,1931.4259344980728
58,5,2350.4839749913103
72,7,2878.3377135621777
36,8,2992.414739115797
37,9,2619.529509914693
27,12,1910.329016032201
41,1,2552.641949063656
65,10,2622.038593186354
75,11,2611.225663096241
60,3,2935.746645503936
49,11,1649.0363332792008
62,0,3474.863744095681
25,14,1775.6694301155744
22,4,2445.32360747182
25,5,2036.9548227065643
22,1,2324.3816684733124
79,0,2817.601915228911
37,11,1583.3022575326122
20,1,2644.161833363992
40,6,3448.943626206972
74,5,3439.928741173332
53,5,2360.4867059736093
22,14,3367.3403027959184
63,9,2572.3187213927786
76,10,3134.8653367601655
66,4,3831.41394513455
61,5,1960.652053333677
69,0,2727.557582754426
26,7,2655.8096769978138
59,5,2222.755900160775
66,13,2142.910542668941
37,5,2951.3999967697923
61,3,2120.620257007158
29,11,2032.1589363010266
58,5,1797.421176287285
56,11,2733.589473357903
26,9,1559.1965993546416
77,1,2735.9706628598733
48,9,2471.1385922221507
69,13,3241.3627098599227
44,10,2060.5692545660922
56,9,2390.5557300308196
59,14,1802.153273476547
36,0,2720.8623849759783
27,2,3076.8689288592163
65,12,2771.4499534972824
71,6,2883.746459936368
35,10,2958.3099052459743
56,7,2218.257076656402
33,3,2985.5031764565038
72,11,1657.546946543067
46,7,2719.9683208620518
72,10,2307.5386310778013
53,7,2500.304954650543
60,7,3213.9215385474413
41,12,2624.2104147111463
72,12,3282.54558987351
18,12,1884.9363622683281
23,6,2430.261491454336
23,0,2434.0046348220385
38,12,2179.980650530639
65,3,2279.289125700932
41,10,3414.2427290977607
60,6,2288.211946672068
53,11,2564.282218683271
22,0,1797.8718321325573
26,6,2072.748397143472
76,10,2106.1590854133938
51,7,3147.503975157714
36,14,2263.887570206046
73,6,1564.7934798624644
55,0,2973.6595473836655
40,8,3362.520383751955
41,0,1508.5299552176302
70,8,3153.253459117491
68,0,2576.175315645261
64,12,2757.893012218734
24,13,1686.4182515467332
45,6,1703.2876503939353
49,10,2264.1763001053037
36,7,1640.2419480595677
33,14,2633.2099815103534
73,13,2549.5723319831486
34,6,2592.9587377638363
25,1,2878.9458685508534
38,4,2358.373021198874
33,9,2556.9843542118047
58,1,1636.74690315613
35,2,3429.0235896572904
57,6,4035.639190111431
19,2,2164.263303921497
18,6,2202.3743695878597
56,10,1836.6325153487037
49,0,2537.755839465321
49,0,3221.913740702672
54,4,3444.815987049652
76,4,1625.2072549006443
60,7,2811.4530535822373
57,8,3580.2009338778653
58,6,1613.1168187907642
27,8,1825.4705424359572
48,7,2086.545552048657
67,4,1938.4154222475333
67,5,2030.1760443206517
20,5,2239.5815831294703
38,12,2725.9971893490365
53,7,2781.7937370211002
64,0,2582.3458475194766
29,3,2708.875746948907
73,0,2283.4954116300464
55,12,1872.916650890717
44,11,3059.2087814660226
75,11,1926.9780786603253
57,4,2501.8612381628814
24,8,2357.944590478986
60,6,3143.2343195982266
25,12,2843.4533366788855
69,9,3098.2642074633386
66,11,2028.0071082763113
45,5,1941.6360184331995
72,12,2150.711050157408
79,3,1686.195237319199
26,8,2310.081929547975
25,13,3344.4104989602833
66,9,3271.475620418208
26,7,2848.008134156282
21,4,1572.0278483325806
74,12,2545.4424893502114
31,3,3272.312126039864
66,0,2728.7340361803167
57,0,2186.6807055731033
75,9,2133.9587531590596
50,12,1832.8544875796797
49,1,2789.1154518455187
20,4,2579.3180224511084
50,8,1434.9125633601302
57,13,3202.7944587864636
44,1,2114.3489735763815
66,5,2034.577499423395
19,9,2196.8320906881227
70,2,2076.8755630130677
71,14,3091.622544316936
51,9,2331.002172955756
75,3,4297.6269762521615
45,6,1888.0827229557665
67,7,2469.613629441835
34,4,2343.350054678636
79,0,1413.3392991195265
53,11,3096.3369166575835
74,3,1591.3731394843062
51,9,1924.9073750858058
41,11,2232.0261096652303
64,0,2242.5525422396972
78,4,3072.4653775514917
75,12,2710.3549214721834
74,7,2124.0585906725573
42,5,3194.7353997626565
20,3,1992.546854683284
54,2,2119.526798532647
28,14,2446.831245803674
21,8,2795.278532006741
57,9,2919.860859377815
35,13,2075.815140573569
35,10,2861.9802514246794
44,14,3212.9891806248197
48,3,2024.2977430295919
61,5,2568.5917241020657
45,6,1508.2811789341213
35,8,3070.1992310744904
79,12,2659.3297013662295
62,11,2401.838773399904
78,13,858.9620799291934
29,13,2666.1387385489043
72,5,2334.797582487971
59,13,3333.2391221067364
46,10,3180.152840328476
57,9,2076.322496955734
73,12,2358.195110425435
69,10,2740.781591549578
68,13,1755.5185852543218
75,8,2544.9094860885525
33,4,3550.699008405123
77,4,3143.084233500703
70,7,1949.6088230421703
57,8,2266.2298812034883
19,8,2576.351392556593
50,11,3281.484358791652
61,7,2752.5645840889515
43,14,1821.2219032665212
70,0,2093.1696330602463
77,3,1838.0525635948889
53,0,983.4635400753821
23,10,1722.6296102948934
33,1,1065.5088993565291
52,9,2526.4800071151685
62,2,3414.7127618267405
29,8,2318.91786956841
42,11,3032.3660230305513
41,7,2736.2470207853316
25,1,1565.5398089929572
38,13,3094.286739543535
76,10,2583.1251679346783
78,9,2248.2400991910413
63,7,1981.8711024917752
30,7,3073.218344469994
44,13,3613.545240439987
22,5,2120.8023383662958
25,12,3819.624933313039
67,5,3310.077740968434
76,14,2454.3427865360236
19,0,3115.633660670057
42,4,1859.0286307137076
70,6,2828.0593305290936
70,8,1536.7229042089366
79,0,2559.4445311655727
62,2,3453.3464630329863
78,3,2684.5581047241903
21,4,3310.125607222929
71,3,2607.9505904146467
45,3,2746.392000968052
25,11,3473.3712397765494
77,0,2756.4352447082783
44,2,3029.8384659803232
31,12,2347.575222641812
66,13,2541.4963838564163
42,0,2909.8084274837315
27,12,1951.4892289434324
50,12,2580.460517694741
69,6,3233.443131750659
76,14,1805.4205169951458
28,11,2954.368978669261
21,3,2368.237719446013
58,7,2754.5022547793133
29,10,2385.4605671995114
18,8,2104.341943768872
51,1,3563.008857604398
42,8,2007.4183698130073
46,11,2012.3871178247923
56,8,2954.3887761407705
18,14,2795.3352596779323
27,9,2505.718468393824
21,5,1925.1179191053234
55,4,2008.2565196078915
69,0,3315.37122581475
68,2,2572.432735316238
79,9,3160.0782621524463
32,4,1786.9178832933146
68,3,1877.260930759768
77,5,2462.8365148257103
40,7,2185.882565462154
24,14,2641.8522787543493
75,0,2755.827466289369
23,2,1449.5430647415808
36,10,2533.801130347862
43,13,1661.2236893545644
73,0,2226.4053389424957
43,5,3147.6860426825565
55,14,2243.138258562858
47,6,2528.8886427029006
44,12,1453.438417076216
44,4,3560.264787380813
78,14,2779.154637258457
68,6,2220.8765735309744
51,13,1706.4596234052335
43,12,2122.3616578253404
78,8,2227.257331957803
67,4,2241.4947044005357
76,14,3267.5069052454787
37,7,2726.982439884497
42,13,2985.607019129309
46,10,2387.6323737199864
62,4,3658.2473868359048
48,3,3182.0711210038226
52,13,2725.8739379697404
39,7,2916.220524014196
36,11,1592.9065516599
23,2,2546.652283867091
39,4,1859.420104277443
39,3,2583.023518800104
32,0,1738.377399723446
27,12,1677.0590235671743
56,2,2858.0288119060137
52,13,2166.1245888808253
32,6,4158.559591685194
24,4,1926.7602430390898
76,12,3780.6781158457634
48,4,2912.6379260031663
34,7,2442.3034035398186
44,14,2177.8694561025586
77,2,2044.3427122748776
48,0,2676.1769798039622
56,9,2984.133772589087
42,6,2639.483423594274
75,0,2871.2031224364887
49,7,3484.9300319482227
63,9,2503.5583608872234
22,7,2685.0604979092873
51,3,2706.42132861848
78,2,2576.4018707380915
49,4,4117.920588672835
22,1,2448.4088200812857
20,2,2186.759090023935
18,12,2808.1981700727392
28,10,2797.267011924182
41,10,3023.9433938742536
25,12,1514.3804393430971
22,12,2215.496947870248
64,4,3314.0853589187154
44,7,2570.851269219093
78,8,2986.239245670761
21,0,2481.367700517162
78,9,2392.3274061306593
32,2,1797.072709023419
39,2,1500.9079064160628
66,5,2888.186988820906
30,4,2819.4464833718375
70,9,2745.2533724899977
47,5,2165.1059156677384
18,6,2920.4821638058843
79,3,3607.347592359888
32,3,2348.004055755939
50,9,1506.6520451887577
24,5,2112.2834135580215
60,3,2028.385476930855
45,10,2633.595341440259
52,2,3367.1083216055904
27,11,2714.51524620661
32,2,2207.1634649395983
71,10,1839.0340213633995
75,7,3021.190184148142
35,4,2313.412670123272
44,11,2109.4573198681687
45,7,1998.964311951792
50,11,2632.180424543378
48,9,1887.8013285990855
38,3,2104.973183735103
53,1,2766.703451333723
34,10,2035.2013808547847
73,4,2913.3481874264576
22,5,3323.7565600837593
69,7,1805.9287563993216
32,8,1866.6106704292738
26,11,2505.054981852982
58,8,2130.573562281326
54,7,2560.60099081414
68,7,2725.1495506137817
62,3,2827.3061969754394
74,6,2429.8840625312423
54,9,1871.9167319078936
54,12,2227.3159164442804
41,9,2568.918409129836
43,6,2140.8851645692125
63,8,2192.5307791614096
57,12,2319.294374843387
40,0,2517.2985015904464
25,4,2419.209362308245
64,6,1485.3154122216738
24,7,2416.4755720538583
68,5,2597.011984964334
31,12,2750.792795995564
67,4,2504.3636132257443
43,11,2141.800472108447
69,0,2567.1480047801847
32,6,2650.157387841379
43,1,2777.84847206062
36,8,3545.1552714075106
22,14,2546.51622615964
27,13,1864.74182898862
79,13,2459.2277135736763
28,7,3555.312006879039
34,11,2668.1978824508465
57,1,1709.17403001938
48,8,2887.602722257763
51,5,2329.154784803072
45,13,1975.7247914089664
60,11,1408.9078440745063
19,5,3299.3936940753033
36,13,2284.795546814741
21,2,2492.398086401847
33,14,2863.51510286994
20,13,2225.5949879193295
40,10,1986.9586174693584
65,5,1484.878156446181
47,2,2990.4958856143667
29,7,1921.0395750416549
22,1,3180.302718803017
38,13,3740.5815116693916
57,1,2846.857996687351
33,2,2251.156120273694
61,8,1461.693955378556
26,6,2126.139791291326
64,5,3277.5464824652827
52,14,2582.6821032514163
49,13,2527.829136786174
66,6,3318.081450046321
36,14,2523.9161994341193
37,3,1691.9136307702486
26,7,2203.597616005128
26,4,2007.382543856806
56,9,2463.448630947571
37,11,3385.6537215866756
66,1,1923.520415262657
26,11,1684.573030896405
58,3,3091.7845065191646
64,14,3036.2830660531827
22,11,2209.446807144637
41,9,2022.4453436660606
20,14,2494.1855197262216
79,12,2539.675044862655
42,14,2423.6541126751545
62,10,1606.456973939636
61,11,2216.4832545698046
55,3,1673.5351185567267
46,2,1822.4747852849537
18,8,2108.660490220096
